energy_fraction,gross_outward_share
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.442743050549890937e-01
2.000000000000000042e-02,3.613184676667075546e-01
2.999999999999999889e-02,4.515700777682618572e-01
4.000000000000000083e-02,5.241419613355738916e-01
5.000000000000000278e-02,5.871786245032863949e-01
5.999999999999999778e-02,6.425974823058033802e-01
7.000000000000000666e-02,6.895454736545821861e-01
8.000000000000000167e-02,7.307766191900594288e-01
8.999999999999999667e-02,7.668969830506102703e-01
1.000000000000000056e-01,7.995061967143960446e-01
1.100000000000000006e-01,8.285543882790740167e-01
1.199999999999999956e-01,8.542385390792378574e-01
1.300000000000000044e-01,8.772632303496959993e-01
1.400000000000000133e-01,8.976768284346841043e-01
1.499999999999999944e-01,9.151756838922392445e-01
1.600000000000000033e-01,9.302945304826998330e-01
1.700000000000000122e-01,9.432680335266254712e-01
1.799999999999999933e-01,9.544160550186903125e-01
1.900000000000000022e-01,9.637375729125716717e-01
2.000000000000000111e-01,9.717093477111120592e-01
2.099999999999999922e-01,9.783762284765834538e-01
2.200000000000000011e-01,9.836444789031737468e-01
2.300000000000000100e-01,9.877571431148413073e-01
2.399999999999999911e-01,9.910288553333673756e-01
2.500000000000000000e-01,9.935575077052638537e-01
2.600000000000000089e-01,9.954777792339123410e-01
2.700000000000000178e-01,9.969287489652420842e-01
2.800000000000000266e-01,9.980187552078011448e-01
2.899999999999999800e-01,9.988099771704274099e-01
2.999999999999999889e-01,9.993259668849069355e-01
3.099999999999999978e-01,9.996363121113021055e-01
3.200000000000000067e-01,9.998152829384594487e-01
3.300000000000000155e-01,9.999174164322413016e-01
3.400000000000000244e-01,9.999707995641002878e-01
3.500000000000000333e-01,9.999926868907894617e-01
3.599999999999999867e-01,9.999997847436785658e-01
3.699999999999999956e-01,9.999999999996981304e-01
3.800000000000000044e-01,9.999999999996981304e-01
3.900000000000000133e-01,9.999999999996981304e-01
4.000000000000000222e-01,9.999999999996981304e-01
4.100000000000000311e-01,9.999999999996981304e-01
4.199999999999999845e-01,9.999999999996981304e-01
4.299999999999999933e-01,9.999999999996981304e-01
4.400000000000000022e-01,9.999999999996981304e-01
4.500000000000000111e-01,9.999999999996981304e-01
4.600000000000000200e-01,9.999999999996981304e-01
4.700000000000000289e-01,9.999999999996981304e-01
4.799999999999999822e-01,9.999999999996981304e-01
4.899999999999999911e-01,9.999999999996981304e-01
5.000000000000000000e-01,9.999999999996981304e-01
5.100000000000000089e-01,9.999999999996981304e-01
5.200000000000000178e-01,9.999999999996981304e-01
5.300000000000000266e-01,9.999999999996981304e-01
5.400000000000000355e-01,9.999999999996981304e-01
5.500000000000000444e-01,9.999999999996981304e-01
5.600000000000000533e-01,9.999999999996981304e-01
5.700000000000000622e-01,9.999999999996981304e-01
5.799999999999999600e-01,9.999999999996981304e-01
5.899999999999999689e-01,9.999999999996981304e-01
5.999999999999999778e-01,9.999999999996981304e-01
6.099999999999999867e-01,9.999999999996981304e-01
6.199999999999999956e-01,9.999999999996981304e-01
6.300000000000000044e-01,9.999999999996981304e-01
6.400000000000000133e-01,9.999999999996981304e-01
6.500000000000000222e-01,9.999999999996981304e-01
6.600000000000000311e-01,9.999999999996981304e-01
6.700000000000000400e-01,9.999999999996981304e-01
6.800000000000000488e-01,9.999999999996981304e-01
6.900000000000000577e-01,9.999999999996981304e-01
7.000000000000000666e-01,9.999999999996981304e-01
7.099999999999999645e-01,9.999999999996981304e-01
7.199999999999999734e-01,9.999999999996981304e-01
7.299999999999999822e-01,9.999999999996981304e-01
7.399999999999999911e-01,9.999999999996981304e-01
7.500000000000000000e-01,9.999999999996981304e-01
7.600000000000000089e-01,9.999999999996981304e-01
7.700000000000000178e-01,9.999999999996981304e-01
7.800000000000000266e-01,9.999999999996981304e-01
7.900000000000000355e-01,9.999999999996981304e-01
8.000000000000000444e-01,9.999999999996981304e-01
8.100000000000000533e-01,9.999999999996981304e-01
8.200000000000000622e-01,9.999999999996981304e-01
8.300000000000000711e-01,9.999999999996981304e-01
8.399999999999999689e-01,9.999999999996981304e-01
8.499999999999999778e-01,9.999999999996981304e-01
8.599999999999999867e-01,9.999999999996981304e-01
8.699999999999999956e-01,9.999999999996981304e-01
8.800000000000000044e-01,9.999999999996981304e-01
8.900000000000000133e-01,9.999999999996981304e-01
9.000000000000000222e-01,9.999999999996981304e-01
9.100000000000000311e-01,9.999999999996981304e-01
9.200000000000000400e-01,9.999999999996981304e-01
9.300000000000000488e-01,9.999999999996981304e-01
9.400000000000000577e-01,9.999999999996981304e-01
9.500000000000000666e-01,9.999999999996981304e-01
9.599999999999999645e-01,9.999999999996981304e-01
9.699999999999999734e-01,9.999999999996981304e-01
9.799999999999999822e-01,9.999999999996981304e-01
9.899999999999999911e-01,9.999999999996981304e-01
1.000000000000000000e+00,1.000000000000000000e+00
